# with_IVC: True
# utcnow, l [cm], V [L], R [%]
2022-03-24 07:49:47.318475, 0.0, 12.0, nan
2022-03-24 07:49:52.355234, 0.0, 12.0, nan
2022-03-24 07:49:57.383317, 0.0, 12.0, nan
2022-03-24 07:50:02.409125, 0.0, 12.0, nan
2022-03-24 07:50:07.438165, 0.0, 12.0, nan
2022-03-24 07:50:12.469625, 0.0, 12.0, nan
2022-03-24 07:50:17.509840, 0.0, 12.0, nan
2022-03-24 07:50:22.549843, 0.0, 12.0, nan
2022-03-24 07:50:27.967023, 0.0, 12.0, nan
2022-03-24 07:50:32.997192, 0.0, 12.0, nan
2022-03-24 07:50:38.040901, 0.0, 12.0, nan
2022-03-24 07:50:43.080241, 0.0, 12.0, nan
2022-03-24 07:50:48.516867, 0.0, 12.0, nan
2022-03-24 07:50:53.549790, 0.0, 12.0, nan
2022-03-24 07:50:58.589076, 0.0, 12.0, nan
2022-03-24 07:51:03.625726, 0.0, 12.0, nan
2022-03-24 07:51:09.057502, 0.0, 12.0, nan
2022-03-24 07:51:14.089953, 0.0, 12.0, nan
2022-03-24 07:51:19.120081, 0.0, 12.0, nan
2022-03-24 07:51:24.153567, 0.0, 12.0, nan
2022-03-24 07:51:29.612237, 0.0, 12.0, nan
2022-03-24 07:51:34.648015, 0.0, 12.0, nan
2022-03-24 07:51:39.691652, 0.0, 12.0, nan
2022-03-24 07:51:44.730821, 0.0, 12.0, nan
2022-03-24 07:51:50.149083, 0.0, 12.0, nan
2022-03-24 07:51:55.186244, 0.0, 12.0, nan
2022-03-24 07:52:00.215400, 0.0, 12.0, nan
2022-03-24 07:52:05.246830, 0.0, 12.0, nan
2022-03-24 07:52:10.706834, 0.0, 12.0, nan
2022-03-24 07:52:15.737776, 0.0, 12.0, nan
2022-03-24 07:52:20.768751, 0.0, 12.0, nan
2022-03-24 07:52:25.806906, 0.0, 12.0, nan
2022-03-24 07:52:31.257399, 0.0, 12.0, nan
2022-03-24 07:52:36.300555, 0.0, 12.0, nan
2022-03-24 07:52:41.338808, 0.0, 12.0, nan
2022-03-24 07:52:46.370705, 0.0, 12.0, nan
2022-03-24 07:52:51.798179, 0.0, 12.0, nan
2022-03-24 07:52:56.829392, 0.0, 12.0, nan
2022-03-24 07:53:01.867005, 0.0, 12.0, nan
2022-03-24 07:53:06.901611, 0.0, 12.0, nan
2022-03-24 07:53:12.351419, 0.0, 12.0, nan
2022-03-24 07:53:17.390577, 0.0, 12.0, nan
2022-03-24 07:53:22.431976, 0.0, 12.0, nan
2022-03-24 07:53:27.465269, 0.0, 12.0, nan
2022-03-24 07:53:32.896229, 0.0, 12.0, nan
2022-03-24 07:53:37.932298, 0.0, 12.0, nan
2022-03-24 07:53:42.966624, 0.0, 12.0, nan
2022-03-24 07:53:48.007773, 0.0, 12.0, nan
2022-03-24 07:53:53.447844, 0.0, 12.0, nan
2022-03-24 07:53:58.487662, 0.0, 12.0, nan
2022-03-24 07:54:03.526872, 0.0, 12.0, nan
2022-03-24 07:54:08.567598, 0.0, 12.0, nan
2022-03-24 07:54:13.996675, 0.0, 12.0, nan
2022-03-24 07:54:19.036362, 0.0, 12.0, nan
2022-03-24 07:54:24.077249, 0.0, 12.0, nan
2022-03-24 07:54:29.110517, 0.0, 12.0, nan
2022-03-24 07:54:34.547413, 0.0, 12.0, nan
2022-03-24 07:54:39.589927, 0.0, 12.0, nan
2022-03-24 07:54:44.618948, 0.0, 12.0, nan
2022-03-24 07:54:49.656163, 0.0, 12.0, nan
2022-03-24 07:54:55.090487, 0.0, 12.0, nan
2022-03-24 07:55:00.122364, 0.0, 12.0, nan
2022-03-24 07:55:05.157263, 0.0, 12.0, nan
2022-03-24 07:55:10.196228, 0.0, 12.0, nan
2022-03-24 07:55:15.645851, 0.0, 12.0, nan
2022-03-24 07:55:20.677231, 0.0, 12.0, nan
2022-03-24 07:55:25.719389, 0.0, 12.0, nan
2022-03-24 07:55:30.752554, 0.0, 12.0, nan
2022-03-24 07:55:36.191804, 0.0, 12.0, nan
2022-03-24 07:55:41.228298, 0.0, 12.0, nan
2022-03-24 07:55:46.264362, 0.0, 12.0, nan
2022-03-24 07:55:51.303309, 0.0, 12.0, nan
2022-03-24 07:55:56.733386, 0.0, 12.0, nan
2022-03-24 07:56:01.769472, 0.0, 12.0, nan
2022-03-24 07:56:06.806357, 0.0, 12.0, nan
2022-03-24 07:56:11.840877, 0.0, 12.0, nan
2022-03-24 07:56:17.286171, 0.0, 12.0, nan
2022-03-24 07:56:22.331772, 0.0, 12.0, nan
2022-03-24 07:56:27.373977, 0.0, 12.0, nan
2022-03-24 07:56:32.410484, 0.0, 12.0, nan
2022-03-24 07:56:37.830486, 0.0, 12.0, nan
2022-03-24 07:56:42.865603, 0.0, 12.0, nan
2022-03-24 07:56:47.905570, 0.0, 12.0, nan
2022-03-24 07:56:52.940610, 0.0, 12.0, nan
2022-03-24 07:56:58.369208, 0.0, 12.0, nan
2022-03-24 07:57:03.412272, 0.0, 12.0, nan
2022-03-24 07:57:08.450488, 0.0, 12.0, nan
2022-03-24 07:57:13.492367, 0.0, 12.0, nan
2022-03-24 07:57:18.927577, 0.0, 12.0, nan
2022-03-24 07:57:23.967314, 0.0, 12.0, nan
2022-03-24 07:57:29.002567, 0.0, 12.0, nan
2022-03-24 07:57:34.039755, 0.0, 12.0, nan
2022-03-24 07:57:39.470305, 0.0, 12.0, nan
2022-03-24 07:57:44.508679, 0.0, 12.0, nan
2022-03-24 07:57:49.550317, 0.0, 12.0, nan
2022-03-24 07:57:54.587219, 0.0, 12.0, nan
2022-03-24 07:58:00.027042, 0.0, 12.0, nan
2022-03-24 07:58:05.064144, 0.0, 12.0, nan
2022-03-24 07:58:10.098136, 0.0, 12.0, nan
2022-03-24 07:58:15.135498, 0.0, 12.0, nan
2022-03-24 07:58:20.575691, 0.0, 12.0, nan
2022-03-24 07:58:25.609203, 0.0, 12.0, nan
2022-03-24 07:58:30.648066, 0.0, 12.0, nan
2022-03-24 07:58:35.682282, 0.0, 12.0, nan
2022-03-24 07:58:41.124205, 0.0, 12.0, nan
2022-03-24 07:58:46.165314, 0.0, 12.0, nan
2022-03-24 07:58:51.211928, 0.0, 12.0, nan
2022-03-24 07:58:56.251087, 0.0, 12.0, nan
2022-03-24 07:59:01.671516, 0.0, 12.0, nan
2022-03-24 07:59:06.708035, 0.0, 12.0, nan
2022-03-24 07:59:11.740320, 0.0, 12.0, nan
2022-03-24 07:59:16.770677, 0.0, 12.0, nan
2022-03-24 07:59:22.219381, 0.0, 12.0, nan
2022-03-24 07:59:27.259343, 0.0, 12.0, nan
2022-03-24 07:59:32.292611, 0.0, 12.0, nan
2022-03-24 07:59:37.332800, 0.0, 12.0, nan
2022-03-24 07:59:42.759979, 0.0, 12.0, nan
2022-03-24 07:59:47.795541, 0.0, 12.0, nan
2022-03-24 07:59:52.834379, 0.0, 12.0, nan
2022-03-24 07:59:57.867593, 0.0, 12.0, nan
2022-03-24 08:00:03.311747, 0.0, 12.0, nan
2022-03-24 08:00:08.350310, 0.0, 12.0, nan
2022-03-24 08:00:13.395261, 0.0, 12.0, nan
2022-03-24 08:00:18.431164, 0.0, 12.0, nan
2022-03-24 08:00:23.855585, 0.0, 12.0, nan
2022-03-24 08:00:28.885726, 0.0, 12.0, nan
2022-03-24 08:00:33.910417, 0.0, 12.0, nan
2022-03-24 08:00:38.937001, 0.0, 12.0, nan
2022-03-24 08:00:44.409390, 0.0, 12.0, nan
2022-03-24 08:00:49.450890, 0.0, 12.0, nan
2022-03-24 08:00:54.495179, 0.0, 12.0, nan
2022-03-24 08:00:59.535501, 0.0, 12.0, nan
2022-03-24 08:01:04.958523, 0.0, 12.0, nan
2022-03-24 08:01:09.993000, 0.0, 12.0, nan
2022-03-24 08:01:15.029933, 0.0, 12.0, nan
2022-03-24 08:01:20.063127, 0.0, 12.0, nan
2022-03-24 08:01:25.504273, 0.0, 12.0, nan
2022-03-24 08:01:30.541166, 0.0, 12.0, nan
2022-03-24 08:01:35.576878, 0.0, 12.0, nan
2022-03-24 08:01:40.619314, 0.0, 12.0, nan
2022-03-24 08:01:46.052752, 0.0, 12.0, nan
2022-03-24 08:01:51.092736, 0.0, 12.0, nan
2022-03-24 08:01:56.127587, 0.0, 12.0, nan
2022-03-24 08:02:01.158237, 0.0, 12.0, nan
2022-03-24 08:02:06.598363, 0.0, 12.0, nan
2022-03-24 08:02:11.635787, 0.0, 12.0, nan
2022-03-24 08:02:16.675344, 0.0, 12.0, nan
2022-03-24 08:02:21.709364, 0.0, 12.0, nan
2022-03-24 08:02:27.158237, 0.0, 12.0, nan
2022-03-24 08:02:32.199210, 0.0, 12.0, nan
2022-03-24 08:02:37.243300, 0.0, 12.0, nan
2022-03-24 08:02:42.290371, 0.0, 12.0, nan
2022-03-24 08:02:47.698242, 0.0, 12.0, nan
2022-03-24 08:02:52.734260, 0.0, 12.0, nan
2022-03-24 08:02:57.772142, 0.0, 12.0, nan
2022-03-24 08:03:02.805709, 0.0, 12.0, nan
2022-03-24 08:03:08.249010, 0.0, 12.0, nan
2022-03-24 08:03:13.288313, 0.0, 12.0, nan
2022-03-24 08:03:18.332777, 0.0, 12.0, nan
2022-03-24 08:03:23.378309, 0.0, 12.0, nan
2022-03-24 08:03:28.795510, 0.0, 12.0, nan
2022-03-24 08:03:33.841894, 0.0, 12.0, nan
2022-03-24 08:03:38.890511, 0.0, 12.0, nan
2022-03-24 08:03:43.935507, 0.0, 12.0, nan
2022-03-24 08:03:49.346539, 0.0, 12.0, nan
2022-03-24 08:03:54.399282, 0.0, 12.0, nan
2022-03-24 08:03:59.449313, 0.0, 12.0, nan
2022-03-24 08:04:04.487790, 0.0, 12.0, nan
2022-03-24 08:04:09.885677, 0.0, 12.0, nan
2022-03-24 08:04:14.930599, 0.0, 12.0, nan
2022-03-24 08:04:19.979755, 0.0, 12.0, nan
2022-03-24 08:04:25.023854, 0.0, 12.0, nan
2022-03-24 08:04:30.442064, 0.0, 12.0, nan
2022-03-24 08:04:35.496928, 0.0, 12.0, nan
2022-03-24 08:04:40.535706, 0.0, 12.0, nan
2022-03-24 08:04:45.571164, 0.0, 12.0, nan
2022-03-24 08:04:50.990638, 0.0, 12.0, nan
2022-03-24 08:04:56.020585, 0.0, 12.0, nan
2022-03-24 08:05:01.043316, 0.0, 12.0, nan
2022-03-24 08:05:06.071213, 0.0, 12.0, nan
2022-03-24 08:05:11.535355, 0.0, 12.0, nan
2022-03-24 08:05:16.575583, 0.0, 12.0, nan
2022-03-24 08:05:21.611160, 0.0, 12.0, nan
2022-03-24 08:05:26.658451, 0.0, 12.0, nan
2022-03-24 08:05:32.082289, 0.0, 12.0, nan
2022-03-24 08:05:37.117787, 0.0, 12.0, nan
2022-03-24 08:05:42.155659, 0.0, 12.0, nan
2022-03-24 08:05:47.190778, 0.0, 12.0, nan
2022-03-24 08:05:52.629731, 0.0, 12.0, nan
2022-03-24 08:05:57.667378, 0.0, 12.0, nan
2022-03-24 08:06:02.700831, 0.0, 12.0, nan
2022-03-24 08:06:07.741163, 0.0, 12.0, nan
2022-03-24 08:06:13.179203, 0.0, 12.0, nan
2022-03-24 08:06:18.216993, 0.0, 12.0, nan
2022-03-24 08:06:23.258810, 0.0, 12.0, nan
2022-03-24 08:06:28.299585, 0.0, 12.0, nan
2022-03-24 08:06:33.729362, 0.0, 12.0, nan
2022-03-24 08:06:38.762400, 0.0, 12.0, nan
2022-03-24 08:06:43.804303, 0.0, 12.0, nan
2022-03-24 08:06:48.844389, 0.0, 12.0, nan
2022-03-24 08:06:54.284330, 0.0, 12.0, nan
2022-03-24 08:06:59.322131, 0.0, 12.0, nan
2022-03-24 08:07:04.354351, 0.0, 12.0, nan
2022-03-24 08:07:09.394383, 0.0, 12.0, nan
2022-03-24 08:07:14.425444, 0.0, 12.0, nan
2022-03-24 08:07:19.467913, 0.0, 12.0, nan
2022-03-24 08:07:24.502321, 0.0, 12.0, nan
2022-03-24 08:07:29.540372, 0.0, 12.0, nan
2022-03-24 08:07:34.579317, 0.0, 12.0, nan
2022-03-24 08:07:39.618232, 0.0, 12.0, nan
2022-03-24 08:07:44.663348, 0.0, 12.0, nan
2022-03-24 08:07:49.717585, 0.0, 12.0, nan
2022-03-24 08:07:55.104439, 0.0, 12.0, nan
2022-03-24 08:08:00.145316, 0.0, 12.0, nan
2022-03-24 08:08:05.179562, 0.0, 12.0, nan
2022-03-24 08:08:10.212582, 0.0, 12.0, nan
2022-03-24 08:08:15.665807, 0.0, 12.0, nan
2022-03-24 08:08:20.692330, 0.0, 12.0, nan
2022-03-24 08:08:25.739236, 0.0, 12.0, nan
2022-03-24 08:08:30.774377, 0.0, 12.0, nan
2022-03-24 08:08:36.201715, 0.0, 12.0, nan
2022-03-24 08:08:41.244607, 0.0, 12.0, nan
2022-03-24 08:08:46.284196, 0.0, 12.0, nan
2022-03-24 08:08:51.320824, 0.0, 12.0, nan
2022-03-24 08:08:56.744088, 0.0, 12.0, nan
2022-03-24 08:09:01.781030, 0.0, 12.0, nan
2022-03-24 08:09:06.814351, 0.0, 12.0, nan
2022-03-24 08:09:11.846974, 0.0, 12.0, nan
2022-03-24 08:09:17.300699, 0.0, 12.0, nan
2022-03-24 08:09:22.337575, 0.0, 12.0, nan
2022-03-24 08:09:27.383103, 0.0, 12.0, nan
2022-03-24 08:09:32.420305, 0.0, 12.0, nan
2022-03-24 08:09:37.848037, 0.0, 12.0, nan
2022-03-24 08:09:42.886170, 0.0, 12.0, nan
2022-03-24 08:09:47.920655, 0.0, 12.0, nan
2022-03-24 08:09:52.960317, 0.0, 12.0, nan
2022-03-24 08:09:58.399051, 0.0, 12.0, nan
2022-03-24 08:10:03.436976, 0.0, 12.0, nan
2022-03-24 08:10:08.472225, 0.0, 12.0, nan
2022-03-24 08:10:13.509562, 0.0, 12.0, nan
2022-03-24 08:10:18.946176, 0.0, 12.0, nan
2022-03-24 08:10:23.982089, 0.0, 12.0, nan
2022-03-24 08:10:29.018308, 0.0, 12.0, nan
2022-03-24 08:10:34.059767, 0.0, 12.0, nan
2022-03-24 08:10:39.497028, 0.0, 12.0, nan
2022-03-24 08:10:44.530632, 0.0, 12.0, nan
2022-03-24 08:10:49.558993, 0.0, 12.0, nan
2022-03-24 08:10:54.585629, 0.0, 12.0, nan
2022-03-24 08:10:59.622593, 0.0, 12.0, nan
2022-03-24 08:11:04.657581, 0.0, 12.0, nan
2022-03-24 08:11:09.693736, 0.0, 12.0, nan
2022-03-24 08:11:14.730094, 0.0, 12.0, nan
2022-03-24 08:11:19.831162, 0.0, 12.0, nan
2022-03-24 08:11:24.869229, 0.0, 12.0, nan
2022-03-24 08:11:29.901391, 0.0, 12.0, nan
2022-03-24 08:11:34.937761, 0.0, 12.0, nan
2022-03-24 08:11:40.376792, 0.0, 12.0, nan
2022-03-24 08:11:45.410314, 0.0, 12.0, nan
2022-03-24 08:11:50.438278, 0.0, 12.0, nan
2022-03-24 08:11:55.483912, 0.0, 12.0, nan
2022-03-24 08:12:00.941872, 0.0, 12.0, nan
2022-03-24 08:12:05.974390, 0.0, 12.0, nan
2022-03-24 08:12:11.019210, 0.0, 12.0, nan
2022-03-24 08:12:16.065303, 0.0, 12.0, nan
2022-03-24 08:12:21.484234, 0.0, 12.0, nan
2022-03-24 08:12:26.521023, 0.0, 12.0, nan
2022-03-24 08:12:31.555643, 0.0, 12.0, nan
2022-03-24 08:12:36.590976, 0.0, 12.0, nan
2022-03-24 08:12:42.025341, 0.0, 12.0, nan
2022-03-24 08:12:47.066020, 0.0, 12.0, nan
2022-03-24 08:12:52.111163, 0.0, 12.0, nan
2022-03-24 08:12:57.157209, 0.0, 12.0, nan
2022-03-24 08:13:02.199393, 0.0, 12.0, nan
2022-03-24 08:13:07.231937, 0.0, 12.0, nan
2022-03-24 08:13:12.264306, 0.0, 12.0, nan
2022-03-24 08:13:17.305709, 0.0, 12.0, nan
2022-03-24 08:13:22.337287, 0.0, 12.0, nan
2022-03-24 08:13:27.376812, 0.0, 12.0, nan
2022-03-24 08:13:32.426220, 0.0, 12.0, nan
2022-03-24 08:13:37.459366, 0.0, 12.0, nan
2022-03-24 08:13:42.852375, 0.0, 12.0, nan
2022-03-24 08:13:47.889213, 0.0, 12.0, nan
2022-03-24 08:13:52.924560, 0.0, 12.0, nan
2022-03-24 08:13:57.961736, 0.0, 12.0, nan
2022-03-24 08:14:03.410571, 0.0, 12.0, nan
2022-03-24 08:14:08.450315, 0.0, 12.0, nan
2022-03-24 08:14:13.481936, 0.0, 12.0, nan
2022-03-24 08:14:18.522283, 0.0, 12.0, nan
2022-03-24 08:14:23.960701, 0.0, 12.0, nan
2022-03-24 08:14:28.998409, 0.0, 12.0, nan
2022-03-24 08:14:34.031052, 0.0, 12.0, nan
2022-03-24 08:14:39.064596, 0.0, 12.0, nan
2022-03-24 08:14:44.495205, 0.0, 12.0, nan
2022-03-24 08:14:49.534586, 0.0, 12.0, nan
2022-03-24 08:14:54.570415, 0.0, 12.0, nan
2022-03-24 08:14:59.616906, 0.0, 12.0, nan
2022-03-24 08:15:05.048470, 0.0, 12.0, nan
2022-03-24 08:15:10.092961, 0.0, 12.0, nan
2022-03-24 08:15:15.120786, 0.0, 12.0, nan
2022-03-24 08:15:20.157688, 0.0, 12.0, nan
2022-03-24 08:15:25.593013, 0.0, 12.0, nan
2022-03-24 08:15:30.629435, 0.0, 12.0, nan
2022-03-24 08:15:35.668216, 0.0, 12.0, nan
2022-03-24 08:15:40.702584, 0.0, 12.0, nan
2022-03-24 08:15:45.741979, 0.0, 12.0, nan
2022-03-24 08:15:50.778606, 0.0, 12.0, nan
2022-03-24 08:15:55.812106, 0.0, 12.0, nan
2022-03-24 08:16:00.847499, 0.0, 12.0, nan
2022-03-24 08:16:05.875910, 0.0, 12.0, nan
2022-03-24 08:16:10.910317, 0.0, 12.0, nan
2022-03-24 08:16:15.947009, 0.0, 12.0, nan
2022-03-24 08:16:20.984223, 0.0, 12.0, nan
2022-03-24 08:16:26.023335, 0.0, 12.0, nan
2022-03-24 08:16:31.059287, 0.0, 12.0, nan
2022-03-24 08:16:36.095830, 0.0, 12.0, nan
2022-03-24 08:16:41.140720, 0.0, 12.0, nan
2022-03-24 08:16:46.176802, 0.0, 12.0, nan
2022-03-24 08:16:51.223586, 0.0, 12.0, nan
2022-03-24 08:16:56.261216, 0.0, 12.0, nan
2022-03-24 08:17:01.305507, 0.0, 12.0, nan
2022-03-24 08:17:06.344777, 0.0, 12.0, nan
2022-03-24 08:17:11.377584, 0.0, 12.0, nan
2022-03-24 08:17:16.415753, 0.0, 12.0, nan
2022-03-24 08:17:21.460254, 0.0, 12.0, nan
2022-03-24 08:17:26.497082, 0.0, 12.0, nan
2022-03-24 08:17:31.535677, 0.0, 12.0, nan
2022-03-24 08:17:36.570818, 0.0, 12.0, nan
2022-03-24 08:17:41.607583, 0.0, 12.0, nan
2022-03-24 08:17:46.643353, 0.0, 12.0, nan
2022-03-24 08:17:51.680638, 0.0, 12.0, nan
2022-03-24 08:17:56.717265, 0.0, 12.0, nan
2022-03-24 08:18:01.750639, 0.0, 12.0, nan
2022-03-24 08:18:06.789371, 0.0, 12.0, nan
2022-03-24 08:18:11.825694, 0.0, 12.0, nan
2022-03-24 08:18:16.860619, 0.0, 12.0, nan
2022-03-24 08:18:21.897269, 0.0, 12.0, nan
2022-03-24 08:18:26.937037, 0.0, 12.0, nan
2022-03-24 08:18:31.969382, 0.0, 12.0, nan
2022-03-24 08:18:36.999696, 0.0, 12.0, nan
2022-03-24 08:18:42.032570, 0.0, 12.0, nan
2022-03-24 08:18:47.070704, 0.0, 12.0, nan
2022-03-24 08:18:52.113832, 0.0, 12.0, nan
2022-03-24 08:18:57.159146, 0.0, 12.0, nan
2022-03-24 08:19:02.191172, 0.0, 12.0, nan
2022-03-24 08:19:07.229313, 0.0, 12.0, nan
2022-03-24 08:19:12.758843, 0.0, 12.0, nan
2022-03-24 08:19:17.786372, 0.0, 12.0, nan
2022-03-24 08:19:22.837060, 0.0, 12.0, nan
2022-03-24 08:19:27.880307, 0.0, 12.0, nan
